../ljmd-serial.x < argon_108.inp
Starting simulation with 108 atoms for 10000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
    9100          51.54421026          16.43985450        -153.75810571        -137.31825121
    9200          54.89782805          17.50947974        -154.91815361        -137.40867387
    9300          54.02659675          17.23160341        -154.51047978        -137.27887637
    9400          52.88887673          16.86873139        -154.29981427        -137.43108287
    9500          49.38562528          15.75138099        -153.17805323        -137.42667224
    9600          55.61102425          17.73695130        -155.14109410        -137.40414281
    9700          51.05454361          16.28367694        -153.67993969        -137.39626275
    9800          53.21576064          16.97298993        -154.42817290        -137.45518297
    9900          50.73135844          16.18059811        -153.53816489        -137.35756678
   10000          52.62850886          16.78568793        -154.14264972        -137.35696179
Simulation Done.
head -10 argon_108.dat | awk '{printf("%d %.6f %.6f %.6f\n",$1,$2,$3,$4);}'> a.dat
